Customer ID,System ID,System Name,Design Type,Status,Install Date,Customer System Number,Customer System Total,Duplicate Customer IDs: 4,,Customer ID,Year,Population,Source,"MISSING IDS: 213,215",Total population ,,Loc ID,District,Coordinates,latitude,longitude,,Customer ID,Customer Name,Customer Type,Loc ID
15,19,Little Flower PS/N #1,Lighting Only,Installed,12/9/2017,1,1,,,15,2026,511.00,Inferred,,87012,,15,Kalisizo,"-0.534338,31.6254575",-0.534338,31.6254575,,15,Little Flower PS/N,School,15
16,20,St. Joseph Nkooko SSS #1,Lighting Only,Installed,12/29/2017,1,1,,,16,2026,305.00,Inferred,,,,16,Nkoko,"0.9614846273101064, 31.428655467144992",0.9614846273,31.42865547,,16,St. Joseph Nkooko SSS,School,16
19,23,Kitimba HC #1,Lighting Only,Installed,11/21/2018,1,1,,,19,2026,"9,900.00",Inferred,,,,19,Mpigi,"0.29660241578113344, 32.26752448769217",0.2966024158,32.26752449,,19,Kitimba HC,Health Centre,19
21,26,Kisoko SS #1,Lighting Only,Installed,6/4/2018,1,1,,,21,2026,738.00,Inferred,,,,21,West Budama,"0.7197708749655422, 34.01854492288583",0.719770875,34.01854492,,21,Kisoko SS,School,21
22,27,Kamugombwa PS #1,Lighting Only,Installed,10/15/2018,1,1,,,22,2026,310.00,Inferred,,,,22,Mpigi,"0.27866710151157986, 32.27007301282958",0.2786671015,32.27007301,,22,Kamugombwa PS,School,22
24,29,Lukalu PS #1,Lighting Only,Installed,10/15/2018,1,1,,,24,2026,843.00,Inferred,,,,24,Mpigi,"0.2572615436892138, 32.27786738929855",0.2572615437,32.27786739,,24,Lukalu PS,School,24
25,30,Lukalu SS #1,Lighting Only,Installed,10/15/2018,1,1,,,25,2026,701.00,Inferred,,,,25,Mpigi,"0.2568425907255054, 32.27777787662353",0.2568425907,32.27777788,,25,Lukalu SS,School,25
26,32,New Hope Vocational Institute VS #1,Lighting Only,Installed,1/16/2019,1,1,,,26,2026,73.00,Inferred,,,,26,Kaihura,"0.6947444520079005, 30.610227337983165",0.694744452,30.61022734,,26,New Hope Vocational Institute VS,School,26
30,38,Mpanga UMEA PS #1,Lighting Only,Installed,4/20/2021,1,1,,,30,2026,273.00,Inferred,,,,30,Butambala,"0.29291343557468547, 32.256133810738355",0.2929134356,32.25613381,,30,Mpanga UMEA PS,School,30
31,70,St. Posiano Lwere PS #1,Lighting Only,Installed,12/11/2021,1,1,,,31,2026,241.00,Inferred,,,,31,Butambala,"0.28239605366176257, 32.271656082644",0.2823960537,32.27165608,,31,St. Posiano Lwere PS,School,31
32,40,Kakubo UMEA PS #1,Lighting Only,Installed,4/24/2021,1,1,,,32,2026,232.00,Inferred,,,,32,Butambala,"0.27866876712257194, 32.270061356730025",0.2786687671,32.27006136,,32,Kakubo UMEA PS,School,32
33,45,St. Kizito Bulugu PS #1,Lighting Only,Installed,5/17/2021,1,1,,,33,2026,244.00,Inferred,,,,33,Butambala,"0.27196, 32.22813",0.27196,32.22813,,33,St. Kizito Bulugu PS,School,33
41,54,Kawami C/S PS #1,Lighting Only,Installed,5/4/2021,1,1,,,41,2026,206.00,Inferred,,,,41,Butambala,"0.21702231068504635, 32.20161073195926",0.2170223107,32.20161073,,41,Kawami C/S PS,School,41
45,60,St. Joseph Kikkunyu PS #1,Lighting Only,Installed,4/29/2021,1,1,,,45,2026,115.00,Inferred,,,,45,Butambala,"0.29084072056539617, 32.20643998095017",0.2908407206,32.20643998,,45,St. Joseph Kikkunyu PS,School,45
48,55,Buyenga Q/S PS #1,Lighting Only,Installed,5/12/2021,1,1,,,48,2026,69.00,Inferred,,,,48,Butambala,"0.2426636393601461, 32.21167347705285",0.2426636394,32.21167348,,48,Buyenga Q/S PS,School,48
