Customer ID,System ID,System Name,Design Type,Status,Install Date,Customer System Number,Customer System Total,,Matched Customer Name,Matched Customer Type,,Matched Latitude,Matched Longitude,,Matched Population,,Duplicate Customer IDs: 4
15,19,Little Flower PS/N #1,Lighting Only,Installed,12/9/2017,1,1,,Little Flower PS/N,School,,-0.534338,31.6254575,,511.00,,
16,20,St. Joseph Nkooko SSS #1,Lighting Only,Installed,12/29/2017,1,1,,St. Joseph Nkooko SSS,School,,0.9614846273,31.42865547,,305.00,,
19,23,Kitimba HC #1,Lighting Only,Installed,11/21/2018,1,1,,Kitimba HC,Health Centre,,0.2966024158,32.26752449,,"9,900.00",,
21,26,Kisoko SS #1,Lighting Only,Installed,6/4/2018,1,1,,Kisoko SS,School,,0.719770875,34.01854492,,738.00,,
22,27,Kamugombwa PS #1,Lighting Only,Installed,10/15/2018,1,1,,Kamugombwa PS,School,,0.2786671015,32.27007301,,310.00,,
24,29,Lukalu PS #1,Lighting Only,Installed,10/15/2018,1,1,,Lukalu PS,School,,0.2572615437,32.27786739,,843.00,,
25,30,Lukalu SS #1,Lighting Only,Installed,10/15/2018,1,1,,Lukalu SS,School,,0.2568425907,32.27777788,,701.00,,
26,32,New Hope Vocational Institute VS #1,Lighting Only,Installed,1/16/2019,1,1,,New Hope Vocational Institute VS,School,,0.694744452,30.61022734,,73.00,,
30,38,Mpanga UMEA PS #1,Lighting Only,Installed,4/20/2021,1,1,,Mpanga UMEA PS,School,,0.2929134356,32.25613381,,273.00,,
31,70,St. Posiano Lwere PS #1,Lighting Only,Installed,12/11/2021,1,1,,St. Posiano Lwere PS,School,,0.2823960537,32.27165608,,241.00,,
32,40,Kakubo UMEA PS #1,Lighting Only,Installed,4/24/2021,1,1,,Kakubo UMEA PS,School,,0.2786687671,32.27006136,,232.00,,
33,45,St. Kizito Bulugu PS #1,Lighting Only,Installed,5/17/2021,1,1,,St. Kizito Bulugu PS,School,,0.27196,32.22813,,244.00,,
41,54,Kawami C/S PS #1,Lighting Only,Installed,5/4/2021,1,1,,Kawami C/S PS,School,,0.2170223107,32.20161073,,206.00,,
45,60,St. Joseph Kikkunyu PS #1,Lighting Only,Installed,4/29/2021,1,1,,St. Joseph Kikkunyu PS,School,,0.2908407206,32.20643998,,115.00,,
48,55,Buyenga Q/S PS #1,Lighting Only,Installed,5/12/2021,1,1,,Buyenga Q/S PS,School,,0.2426636394,32.21167348,,69.00,,
55,71,Simba Islamic PS #1,Lighting Only,Installed,12/4/2021,1,1,,Simba Islamic PS,School,,0.2433852961,32.16047136,,471.00,,
62,73,Kayenje C/S PS #1,Lighting Only,Installed,11/20/2021,1,1,,Kayenje C/S PS,School,,0.1812646355,32.09423731,,507.00,,
64,74,Kayenje C/U PS #1,Lighting Only,Installed,11/13/2021,1,1,,Kayenje C/U PS,School,,0.1847286065,32.09908034,,577.00,,
67,78,Budde SS #1,Lighting Only,Installed,11/20/2021,1,1,,Budde SS,School,,0.1306116904,32.18117027,,"1,382.00",,
68,72,Kibugga C/S PS #1,Lighting Only,Installed,11/27/2021,1,1,,Kibugga C/S PS,School,,0.1117263996,31.99906124,,655.00,,
84,79,Butawuka Magezi Ntake SS #1,Lighting Only,Installed,11/27/2021,1,1,,Butawuka Magezi Ntake SS,School,,0.1134450411,32.00904403,,"1,397.00",,
85,80,Cardinal Wamala SS #1,Lighting Only,Installed,12/4/2021,1,1,,Cardinal Wamala SS,School,,0.1192361426,31.99411502,,518.00,,
90,81,Kitagobwa SS #1,Lighting Only,Installed,12/4/2021,1,1,,Kitagobwa SS,School,,0.102973092,31.92756675,,713.00,,
98,75,Bulo C/S PS #1,Lighting Only,Installed,11/27/2021,1,1,,Bulo C/S PS,School,,0.11554,31.9961,,616.00,,
99,76,Bwetyaba UMEA PS #1,Lighting Only,Installed,11/20/2021,1,1,,Bwetyaba UMEA PS,School,,0.07669294389,31.93833297,,628.00,,
103,67,Bulo HC III #1,Lighting Only,Installed,12/11/2021,1,1,,Bulo HC III,Health Centre,,0.1132195356,31.99884336,,"20,566.00",,
104,68,Ngando HC III #1,Lighting Only,Installed,11/13/2021,1,1,,Ngando HC III,Health Centre,,0.07585647329,31.92543794,,"21,950.00",,
105,69,Kyabadaza HC III #1,Lighting Only,Installed,11/13/2021,1,1,,Kyabadaza HC III,Health Centre,,0.120911257,32.18190176,,"15,104.00",,
150,93,Mpenja SS #1,Lighting Only,Installed,7/9/2025,1,1,,Mpenja SS,School,,0.224468017,32.05242023,,0.00,,
153,94,Kyayi Seed SS #1,Lighting Only,Installed,7/16/2025,1,1,,Kyayi Seed SS,School,,0.21451,31.39893,,450.00,,
162,90,Bukandula Mixed SS #1,Lighting Only,Installed,6/25/2025,1,1,,Bukandula Mixed SS,School,,0.1682104677,31.83270331,,815.00,,
186,83,Kasaka SSS #1,Lighting Only,Installed,2/19/2025,1,1,,Kasaka SSS,School,,0.1843968157,31.90118713,,"1,128.00",,
187,95,St. Leonard's SS #1,Lighting/USB Charging,Installed,10/20/2025,1,1,,St. Leonard's SS,School,,0.209640781,31.67042416,,738.00,,
189,96,Kisozi Seed SS #1,Lighting/USB Charging,Installed,10/27/2025,1,1,,Kisozi Seed SS,School,,0.07147331414,31.59861379,,"1,014.00",,
200,82,Mustard Seed Academy PS/N #1,Lighting Only,Installed,8/5/2024,1,3,,Mustard Seed Academy PS/SS/N,School,,-0.1606174462,31.88042528,,634.00,,
200,86,Mustard Seed Academy SS #2,Lighting Only,Installed,5/16/2025,2,3,,Mustard Seed Academy PS/SS/N,School,,-0.1606174462,31.88042528,,634.00,,
200,101,Mustard Seed Academy PS Dormitory #3,Lighting/USB Charging,Installed,1/2/2026,3,3,,Mustard Seed Academy PS/SS/N,School,,-0.1606174462,31.88042528,,634.00,,
204,88,Gomba Parents PS #1,Lighting Only,Installed,6/12/2025,1,1,,Gomba Parents PS,School,,0.1636618134,31.910779,,772.00,,
210,89,Aidah And Topher PS #1,Lighting Only,Installed,6/18/2025,1,1,,Aidah And Topher PS,School,,0.1742854494,31.91015049,,577.00,,
211,87,Kanoni Modern C/S P/N #1,Lighting Only,Installed,6/5/2025,1,1,,Kanoni Modern C/S PS/N,School,,0.1747284455,31.90693327,,0.00,,
213,84,All We Are #1,Lighting Only,Installed,3/14/2025,1,2,,All We Are,N/A,,0.1890480166,32.41820991,,,,
213,85,All We Are #2,Lighting Only,Installed,3/14/2025,2,2,,All We Are,N/A,,0.1890480166,32.41820991,,,,
214,91,St. Joseph's VS/SS #1,Lighting Only,Installed,7/2/2025,1,1,,St. Joseph's VS/SS,School,,0.2148923423,32.04185781,,362.00,,
215,97,St. Maria Goretti PS #1,Lighting Only,Installed,11/8/2025,1,2,,St. Maria Goretti PS,School,,0.5761430856,31.71955437,,,,
215,98,St. Maria Goretti PS #2,Loads,Installed,11/8/2025,2,2,,St. Maria Goretti PS,School,,0.5761430856,31.71955437,,,,
216,99,Hillside PS #1,Lighting Only,Installed,11/4/2025,1,1,,Hillside PS,School,,0.2229735781,31.67394333,,176.00,,
217,100,Vision Park Junior PS #1,Lighting/USB Charging,Installed,1/2/2026,1,1,,Vision Park Junior PS,School,,-0.1478538466,31.87759147,,501.00,,
